,Steps,Energy @ 1.5,Energy @ 1.7,Energy @ 1.9,Energy @ 2.0999999999999996,Energy @ 2.3,Energy @ 2.5,Energy @ 2.6999999999999997,Energy @ 2.8999999999999995,Energy @ 3.0999999999999996,Energy @ 3.3
45,45023.46623311656,-1692.0,-1948.0,-1856.0,-1680.0,-1468.0,-1224.0,-1004.0,-820.0,-864.0,-704.0
46,46023.96548274137,-1716.0,-1964.0,-1864.0,-1756.0,-1508.0,-1180.0,-844.0,-852.0,-784.0,-760.0
47,47024.46473236618,-1692.0,-1944.0,-1932.0,-1720.0,-1468.0,-1168.0,-856.0,-876.0,-764.0,-700.0
48,48024.96398199099,-1660.0,-1928.0,-1900.0,-1748.0,-1424.0,-1128.0,-880.0,-868.0,-784.0,-768.0
49,49025.46323161581,-1696.0,-1872.0,-1900.0,-1700.0,-1468.0,-1208.0,-932.0,-916.0,-764.0,-784.0
50,50025.96248124062,-1724.0,-1892.0,-1912.0,-1696.0,-1460.0,-1228.0,-884.0,-860.0,-764.0,-788.0
51,51026.46173086543,-1696.0,-1952.0,-1880.0,-1660.0,-1508.0,-1128.0,-892.0,-936.0,-748.0,-788.0
52,52026.96098049024,-1720.0,-1936.0,-1880.0,-1668.0,-1468.0,-1156.0,-840.0,-920.0,-768.0,-792.0
53,53027.46023011506,-1696.0,-1936.0,-1824.0,-1768.0,-1468.0,-1208.0,-884.0,-856.0,-856.0,-680.0
54,54027.95947973987,-1744.0,-1960.0,-1784.0,-1756.0,-1420.0,-1188.0,-936.0,-808.0,-820.0,-744.0
55,55028.45872936468,-1732.0,-1924.0,-1864.0,-1760.0,-1448.0,-1232.0,-916.0,-832.0,-764.0,-808.0
56,56028.95797898949,-1756.0,-1916.0,-1848.0,-1784.0,-1368.0,-1204.0,-924.0,-812.0,-808.0,-740.0
57,57029.45722861431,-1776.0,-1928.0,-1848.0,-1780.0,-1452.0,-1204.0,-932.0,-752.0,-824.0,-656.0
58,58029.95647823912,-1780.0,-1952.0,-1876.0,-1820.0,-1476.0,-1248.0,-936.0,-880.0,-804.0,-684.0
59,59030.455727863926,-1788.0,-1956.0,-1860.0,-1708.0,-1436.0,-1172.0,-920.0,-864.0,-820.0,-760.0
60,60030.95497748874,-1748.0,-1968.0,-1868.0,-1804.0,-1480.0,-1256.0,-968.0,-880.0,-740.0,-780.0
61,61031.45422711356,-1788.0,-1940.0,-1896.0,-1840.0,-1448.0,-1252.0,-972.0,-872.0,-804.0,-768.0
62,62031.95347673837,-1792.0,-1940.0,-1888.0,-1884.0,-1380.0,-1224.0,-936.0,-896.0,-768.0,-772.0
63,63032.452726363175,-1740.0,-1948.0,-1804.0,-1828.0,-1360.0,-1180.0,-920.0,-960.0,-760.0,-656.0
64,64032.95197598799,-1728.0,-1932.0,-1820.0,-1748.0,-1232.0,-1112.0,-972.0,-936.0,-812.0,-684.0
65,65033.45122561281,-1724.0,-1932.0,-1856.0,-1784.0,-1284.0,-1168.0,-952.0,-924.0,-784.0,-684.0
66,66033.95047523762,-1764.0,-1944.0,-1832.0,-1784.0,-1360.0,-1128.0,-988.0,-912.0,-760.0,-720.0
67,67034.44972486242,-1796.0,-1968.0,-1788.0,-1872.0,-1328.0,-1156.0,-936.0,-880.0,-732.0,-784.0
68,68034.94897448724,-1772.0,-1944.0,-1808.0,-1828.0,-1328.0,-1144.0,-976.0,-1004.0,-816.0,-876.0
69,69035.44822411206,-1808.0,-1980.0,-1864.0,-1840.0,-1228.0,-1164.0,-1028.0,-988.0,-808.0,-784.0
70,70035.94747373686,-1804.0,-1920.0,-1868.0,-1828.0,-1232.0,-1176.0,-1076.0,-1024.0,-700.0,-712.0
71,71036.44672336167,-1772.0,-1896.0,-1852.0,-1792.0,-1312.0,-1180.0,-1032.0,-976.0,-804.0,-740.0
72,72036.94597298649,-1768.0,-1960.0,-1872.0,-1736.0,-1292.0,-1144.0,-1016.0,-984.0,-844.0,-652.0
73,73037.4452226113,-1736.0,-1964.0,-1868.0,-1756.0,-1216.0,-1156.0,-972.0,-888.0,-824.0,-668.0
74,74037.94447223612,-1760.0,-1960.0,-1832.0,-1728.0,-1272.0,-1088.0,-976.0,-808.0,-760.0,-700.0
75,75038.44372186092,-1780.0,-1964.0,-1832.0,-1788.0,-1244.0,-1100.0,-1096.0,-900.0,-788.0,-660.0
76,76038.94297148574,-1776.0,-1964.0,-1900.0,-1700.0,-1252.0,-1100.0,-956.0,-952.0,-788.0,-736.0
77,77039.44222111056,-1788.0,-1976.0,-1848.0,-1724.0,-1284.0,-1104.0,-952.0,-920.0,-744.0,-684.0
78,78039.94147073536,-1744.0,-1928.0,-1908.0,-1760.0,-1224.0,-1128.0,-956.0,-888.0,-748.0,-660.0
79,79040.44072036017,-1772.0,-1928.0,-1888.0,-1760.0,-1260.0,-1032.0,-880.0,-876.0,-800.0,-720.0
80,80040.93996998499,-1776.0,-1956.0,-1892.0,-1736.0,-1176.0,-1072.0,-908.0,-964.0,-780.0,-740.0
81,81041.4392196098,-1748.0,-1976.0,-1908.0,-1696.0,-1248.0,-1092.0,-960.0,-880.0,-784.0,-744.0
82,82041.93846923462,-1788.0,-1924.0,-1872.0,-1704.0,-1300.0,-1092.0,-980.0,-956.0,-768.0,-652.0
83,83042.43771885942,-1788.0,-1944.0,-1892.0,-1700.0,-1340.0,-1012.0,-1048.0,-864.0,-680.0,-740.0
84,84042.93696848424,-1804.0,-1908.0,-1916.0,-1744.0,-1380.0,-996.0,-1000.0,-988.0,-724.0,-788.0
85,85043.43621810905,-1788.0,-1928.0,-1908.0,-1656.0,-1368.0,-1144.0,-956.0,-924.0,-644.0,-768.0
86,86043.93546773386,-1816.0,-1944.0,-1864.0,-1648.0,-1304.0,-1068.0,-1080.0,-904.0,-752.0,-672.0
87,87044.43471735867,-1816.0,-1852.0,-1844.0,-1680.0,-1316.0,-1160.0,-1072.0,-940.0,-664.0,-692.0
88,88044.93396698349,-1796.0,-1892.0,-1808.0,-1716.0,-1348.0,-1072.0,-1064.0,-812.0,-772.0,-660.0
89,89045.4332166083,-1820.0,-1900.0,-1836.0,-1756.0,-1376.0,-1064.0,-1120.0,-840.0,-828.0,-720.0
90,90045.93246623312,-1808.0,-1916.0,-1884.0,-1808.0,-1448.0,-1044.0,-1040.0,-892.0,-772.0,-732.0
91,91046.43171585792,-1788.0,-1936.0,-1920.0,-1804.0,-1424.0,-1116.0,-1064.0,-864.0,-784.0,-748.0
92,92046.93096548274,-1792.0,-1932.0,-1936.0,-1824.0,-1460.0,-1080.0,-1012.0,-980.0,-836.0,-736.0
93,93047.43021510755,-1824.0,-1940.0,-1872.0,-1768.0,-1460.0,-1088.0,-1120.0,-912.0,-792.0,-732.0
94,94047.92946473235,-1808.0,-1908.0,-1852.0,-1764.0,-1484.0,-1156.0,-1060.0,-788.0,-812.0,-748.0
95,95048.42871435717,-1828.0,-1880.0,-1860.0,-1740.0,-1376.0,-1084.0,-996.0,-876.0,-860.0,-648.0
96,96048.92796398199,-1808.0,-1928.0,-1868.0,-1820.0,-1400.0,-1100.0,-952.0,-928.0,-856.0,-712.0
97,97049.4272136068,-1804.0,-1980.0,-1884.0,-1684.0,-1508.0,-1140.0,-968.0,-904.0,-824.0,-764.0
98,98049.92646323162,-1800.0,-1972.0,-1908.0,-1688.0,-1528.0,-1180.0,-1004.0,-864.0,-732.0,-728.0
99,99050.42571285642,-1796.0,-1980.0,-1904.0,-1648.0,-1496.0,-1240.0,-1044.0,-848.0,-804.0,-748.0
100,100050.92496248124,-1824.0,-1916.0,-1904.0,-1676.0,-1496.0,-1188.0,-996.0,-880.0,-816.0,-724.0
101,101051.42421210605,-1828.0,-1944.0,-1912.0,-1704.0,-1496.0,-1104.0,-944.0,-900.0,-804.0,-700.0
102,102051.92346173085,-1852.0,-1912.0,-1884.0,-1696.0,-1508.0,-1260.0,-908.0,-916.0,-704.0,-736.0
103,103052.42271135567,-1792.0,-1948.0,-1872.0,-1696.0,-1512.0,-1316.0,-932.0,-888.0,-744.0,-772.0
104,104052.92196098049,-1796.0,-1980.0,-1896.0,-1712.0,-1480.0,-1172.0,-932.0,-876.0,-768.0,-764.0
105,105053.4212106053,-1804.0,-2004.0,-1888.0,-1796.0,-1500.0,-1276.0,-908.0,-824.0,-808.0,-704.0
106,106053.92046023012,-1788.0,-1968.0,-1904.0,-1756.0,-1476.0,-1212.0,-972.0,-876.0,-828.0,-788.0
107,107054.41970985492,-1772.0,-1940.0,-1940.0,-1724.0,-1420.0,-1180.0,-1000.0,-956.0,-788.0,-760.0
108,108054.91895947974,-1796.0,-1900.0,-1900.0,-1712.0,-1464.0,-1236.0,-948.0,-944.0,-740.0,-800.0
109,109055.41820910455,-1812.0,-1936.0,-1884.0,-1724.0,-1388.0,-1100.0,-952.0,-944.0,-692.0,-840.0
110,110055.91745872935,-1800.0,-1964.0,-1904.0,-1680.0,-1384.0,-1112.0,-972.0,-940.0,-744.0,-792.0
111,111056.41670835417,-1780.0,-1956.0,-1920.0,-1672.0,-1376.0,-1064.0,-904.0,-912.0,-828.0,-784.0
112,112056.91595797898,-1812.0,-1980.0,-1916.0,-1612.0,-1376.0,-1104.0,-956.0,-908.0,-712.0,-756.0
113,113057.4152076038,-1828.0,-1932.0,-1904.0,-1628.0,-1356.0,-1148.0,-1016.0,-844.0,-712.0,-676.0
114,114057.91445722862,-1820.0,-1860.0,-1912.0,-1624.0,-1388.0,-1120.0,-884.0,-788.0,-576.0,-640.0
